"title","author","journal","year"
"Targeted sequencing of cancer‐related genes in nasopharyngeal carcinoma identifies mutations in the TGF‐β pathway","AK Chung, CN OuYang, H Liu, M Chao, JD Luo, CY Lee, YJ Lu, IC Chung, ...","Cancer medicine",2019
"Loss of SATB1 induces p21-dependent cellular senescence in post-mitotic dopaminergic neurons","M Riessland, B Kolisnyk, TW Kim, J Cheng, J Ni, JA Pearson, EJ Park, ...","Cell stem cell",2019
"Molecular evolution across developmental time reveals rapid divergence in early embryogenesis","AD Cutter, RH Garrett, S Mark, W Wang, L Sun","Evolution letters",2019
"Genome structure predicts modular transcriptome responses to genetic and environmental conditions","S Mark, J Weiss, E Sharma, T Liu, W Wang, JM Claycomb, AD Cutter","Molecular Ecology",2019
"Genetic and environmental perturbations drive modular transcriptome responses","S Mark, J Weiss, E Sharma, T Liu, W Wang, JM Claycomb, AD Cutter","BioRxiv",2019
"Genomics of rapid ecological divergence and parallel adaptation in four tidal marsh sparrows 324 Jennifer Walsh, Phred M. Benham, Petra E. Deane-Coe, Peter Arcese, Bronwyn G …","WG Shriver, VL Winder, IJ Lovette, C Román-Palacios, JP Scholl, ...","",2019
"Epileptic seizure prediction using big data and deep learning: toward a mobile system","I Kiral-Kornek, S Roy, E Nurse, B Mashford, P Karoly, T Carroll, D Payne, ...","EBioMedicine",2018
"Reactive oxygen species regulate axonal regeneration through the release of exosomal NADPH oxidase 2 complexes into injured axons","A Hervera, F De Virgiliis, I Palmisano, L Zhou, E Tantardini, G Kong, ...","Nature cell biology",2018
"PTBP1-mediated alternative splicing regulates the inflammatory secretome and the pro-tumorigenic effects of senescent cells","A Georgilis, S Klotz, CJ Hanley, N Herranz, B Weirich, B Morancho, ...","Cancer cell",2018
"WNT signaling memory is required for ACTIVIN to function as a morphogen in human gastruloids","A Yoney, F Etoc, A Ruzo, T Carroll, JJ Metzger, I Martyn, S Li, C Kirst, ...","Elife",2018
"Low dose exposure to HBCD, CB-153 or TCDD induces histopathological and hormonal effects and changes in brain protein and gene expression in juvenile female BALB/c mice","JD Rasinger, TS Carroll, F Maranghi, R Tassinari, G Moracci, I Altieri, ...","Reproductive Toxicology",2018
"Parallel in vivo and in vitro transcriptomics analysis reveals calcium and zinc signalling in the brain as sensitive targets of HBCD neurotoxicity","V Reffatto, JD Rasinger, TS Carroll, T Ganay, AK Lundebye, I Sekler, ...","Archives of Toxicology",2018
"Epileptic seizure prediction using big data and deep learning: Toward a mobile system. eBioMedicine, 27, 103–111","I Kiral-Kornek, S Roy, E Nurse, B Mashford, P Karoly, T Carroll, D Payne, ...","",2018
